ISOSL3,structure_pin_nip,passivating_molecule,perovskite_composition,hole_transport_layer,electron_transport_layer,journal_publication,date_published,ISOSD2,treated_voc,ISOSD1,humidity,efficiency_tret,treated_pce,control_pce,perovskite_molecule,ISOSL1,temperature,control_pce_peak,control_voc,ISOSL2,time,efficiency_cont,treated_pce_peak,control_voc_peak,treated_voc_peak,ISOST2,ISOST1,control_pce_average,treated_pce_average
,,benzylamine hydroiodide (BAHI),FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,spiro-OMeTAD,,,,"{'humidity': '80 ± 20% relative humidity', 'time': '500 h', 'passivating_molecule': '60 °C'}",,,,,24.5%,,,,,,,,,,,,,,,,
,,tri-n-octylphosphine (TOPO) 26,,,,,,,,,25%,,,,,,25C,,,,,,19.22%,,,,,,
,,"['octylammonium sulfate', 'Octylammonium iodide']",,"4,6trimethylphenyl)amine) (PTAA),poly(bis(4-phenyl)(2",,,,{'temperature': '65C'},methylammonium sulfate,,,,,19.16,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,,,1.07,,,,,,,,,,
,,,Organolead trihalide perovskite (OTP),Poly(triaryl amine) (PTAA),,,,,,,40%,,,,"1.0 wt% 2,3,5,6-Tetrafl uoro-7,7,8,8-tetracyanoquinodimethane (F4-TCNQ)",,,,,,,,,,,,,,
,,n-butylamine acetate,(BA 2 MA n-1 Pb n I 3n+1 ),spiro-OMeTAD,,,,"{'humidity': '65 ± 10% humidity', 'time': '4,680H', 'temperature': '85 °C for 558 h'}",1.31,,,,16.25%,,BA 2 MA n-1 Pb n I 3n+1,,,,,,,,,,,,,,
,,"['allylammonium', 'phenethylammonium', 'butylammonium']",(L) 2 (MA) n-1 Pb n I 3n-1,spiro-OMeTAD,,,,"{'time': '1000 h', 'temperature': '70 °C'}",,,,,16.5%,10-12%,,,,,,,,,,,,,,,
,,"['DMePDAI 2', 'BDAI2']","['FA 0.85 MA 0.1 Cs 0.05 PbI 2.9 Br 0.1', 'Cs 0.05 FA 0.95 PbI 3 , (FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05 , and FAPbI 3']",spiro-OMeTAD,"['TiO 2', 'SnO 2']",,,"{'humidity': '85% relative humidity', 'temperature': '85°C', 'time': '1008-h'}",,,,,24.0%,"['4.9%', '20.5']",,,,,,,1008-h,,,,,,,,
,,methylammonium lead iodide,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FA 0.83 Cs 0.17 Pb 0.5 Sn 0.5 I 3,PEDOT:PSS,"evaporated C 60 (30 nm) and bathocuproine (BCP) (8 nm),with a copper (Cu) electrode on top",,,,,,,,25.5%,,,,,,,,,,,,,,,,
,,,MA 0.07 FA 0.93 PbI 3,PTAA,C 60,,,,,,,,28.4%,,,,,,,"{'humidity': '25%', 'temperature': '25'}",,,,,,,,,
,,,,,SnO 2 Tin oxide,,,,,,,,,,,,,,,,,,,,,,,,
,,PEAI,FA0.8Cs0.2Pb(I0.7Br0.3)3 WBG,PTAA,,,,,1.25,,,,19.07%,17.5%,,{'temperature': '250 - 300 K'},250-300 K,,1.16,,,,,,,,,,
,NIP,,(FAPbI3)0.97(MAPbBr3)0.03,Spiro-OMeTAD,"['TinOxide', 'TiO 2']",,,,,,,,,,"['Formamidinium Lead Iodide', 'MAPbBr 3']","{'treated_pce_peak': 'ISOS-L1', 'humidity': 'ISOS-L1'}",,,,,,,,,,,,,
,NIP,,PMMA,Spiro-OMeTAD,Mesoporous TiO2,,,"{'efficiency_tret': 'ISOS-D-2', 'temperature': 'ISOS-D-2', 'time': 'ISOS-D-2'}",,,,,,,,,,,,,,,,,,,,,
,,,CsMAFA,Spiro-OMeTAD,"['TiO2- Cl', 'TiO 2']",,,"{'efficiency_cont': 'ISOS-D2', 'efficiency_tret': 'ISOS-D2', 'time': 'ISOS-D2', 'humidity': 'ISOS-D2'}",,,,,,,,"{'treated_pce': 'ISOS-L1', 'efficiency_tret': 'ISOS-L1', 'time': 'ISOS-L1'}",,,,,,,,TiO2,,,,,
,PIN,,"['PCBM', 'choline chloride', 'FA 0.85 MA 0.15 Pb(I 0.85 Br 0.15 ) 3']",,,,,,QAHs,"{'temperature': 'ISOS-D1', 'humidity': 'ISOS-D1', 'efficiency_tret': 'ISOS-D1', 'efficiency_cont': 'ISOS-D1', 'time': 'ISOS-D1'}",,,Cl-ChloridepassibatedFA0.85MA0.15Pb(I0.85Br0.15)3,,,"{'treated_pce': 'ISOS-L1', 'efficiency_tret': 'ISOS-L1', 'time': 'ISOS-L1'}",,,,,,,QUAs,,"['L-α-phosphatidylcholine', '16.1 ± 1.1%']",,,,
,PIN,,MAPbI3,Spiro-OMeTAD,TinOxide,,,"{'temperature': 'ISOS-D-2', 'humidity': 'ISOS-D-2', 'efficiency_tret': 'ISOS-D-2 - FA0.15MA0.85PbI3', 'time': 'ISOS-D-2 - FA0.15MA0.85PbI3', 'efficiency_cont': 'ISOS-D-2 - MAPbI3', 'treated_pce': 'ISOS-D-2 - FA0.15MA0.85PbI3'}",FAMAPb3,,,,,,,,,,,,,,,,,,,,
,NIP,,FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05,"['Spiro-OMeTAD', 'fluorene-terminated hole-transporting material']",mp-TIO2,,,,,"{'efficiency_tret': 'ISOS-D1', 'time': 'ISOS-D1', 'temperature': 'ISOS-D1'}",,,,,,"{'efficiency_tret': 'ISOS-L1', 'time': 'ISOS-L1'}",,,,,,,,,,"{'efficiency_tret': 'ISOS-T2', 'time': 'ISOS-T2', 'temperature': 'ISOS-T2'}",,,
,NIP,,HTAB,P3HT,,,,,,,,,,,,"{'treated_pce': 'ISOS-L1', 'humidity': 'ISOS-L1', 'time': 'ISOS-L1', 'efficiency_tret': 'ISOS-L1'}",,,,,,,,,,,,,
,,,,Spiro-OMeTAD,"['E-SnO2', 'SnO 2']",,,,,"{'efficiency_tret': 'ISOS-D1', 'time': 'ISOS-D1', 'efficiency_cont': 'ISOS-D1'}",,,Tin,,,"{'time': 'ISOS-L1', 'efficiency_tret': 'ISOS-L1', 'efficiency_cont': 'ISOS-L1'}",,,,,,,,,,,,,
,NIP,,,Spiro-OMeTAD,,,,,,,,,"['21.52', '20.7']",,,,,18.5,,,,,,,,,,,
"{'treated_pce': 'ISOS-L3', 'time': 'ISOS-L3'}",,,triple cation perovskite,,,,,,,"{'efficiency_tret': 'ISOS-D1', 'time': 'ISOS-D1'}",,,CsFAMA-F,CsMAFA,,"{'treated_pce': 'ISOS-L1', 'time': 'ISOS-L1', 'efficiency_tret': 'ISOS-L1'}",,,,,,,,,,"{'efficiency_tret': 'ISOS-T2', 'temperature': 'ISOS-T2', 'time': 'ISOS-T2', 'efficiency_cont': 'ISOS-T2'}",,,
,NIP,,FAPbI3,,TinOxide,,,,1.145,,,,20.87,,,,,,,,,,,,,,,,
,NIP,,(FAPbI3)0.85(MAPbBr3)0.15),Spiro-OMeTAD,,,,,,,,,strain-free,tensile-strained,,,,,,"{'treated_voc': 'ISOS-L2', 'treated_pce': 'ISOS-L2'}",,,,,,,,,
,,"['methylammonium chloride - 20%', 'MA-30', 'MA-50']",formamidinium lead iodide,Spiro-OMeTAD,,,,,,,,,methylammonium chloride - 40%,,,,,,methylammonium chloride,,,,,,,"{'efficiency_cont': 'ISOS-T2', 'time': 'ISOS-T2', 'efficiency_tret': 'ISOS-T2'}","{'efficiency_tret': 'ISOS-T1', 'time': 'ISOS-T1'}",,
,NIP,,,"['Spiro-OMeTAD', 'PTAA']",BaSnO3,,,,,"{'time': 'ISOS-D-1', 'humidity': 'ISOS-D-1', 'efficiency_cont': 'ISOS-D-1', 'efficiency_tret': 'ISOS-D-1'}",,,21.3,,,,,,,,,,,,,,,,
,NIP,,,,,,,,,,,,FA0.57MA0.43PbI2.87Br0.13 (Cl),,,,,,,,,,,,,,,,
,p-i-n,"['PI', 'Piperazinium Diiodide (PDI)']",Cs 0.05 (FA 0.95 MA 0.05 ) 0.95 Pb(I 0.95 Br 0.05 ) 3,PTAA,C 60,acs,,,1.17,,,,23.37,20.76,,,,,1.06,,,,,,,,,,
,,FA1-x-yMAxCsyPbI3-zBrz,,Spiro-OMeTAD/PTAA,C60,,,"{'treated_pce': '24.27', 'control_voc': '1.16', 'temperature': '85', 'treated_voc': '1.163', 'control_pce': '21.66'}",,,,,,,,,85,,,,2000,,,,,,,,
,,,MACl,Spiro-OMeTAD,TiO2,science,,,,,30,,24.82,23.44,,,,,,"{'temperature': '25', 'humidity': '30', 'control_voc': '1.153', 'efficiency_cont': '22.68', 'treated_voc': '1.169'}",500,,,,,,,,
,,FAPbI 3,(FAPbI 3 ) 0.99 (MAPbBr 3 ) 0.01,spiro-OMeTAD,TiO2,science,,,,,,,,,,"{'humidity': '70', 'control_pce': '22.2', 'control_voc': '1.15', 'treated_voc': '1.17', 'treated_pce': '23.4', 'temperature': '25'}",,,,,500,,,,,,,,
,,,,"['PEDOT:PSS', 'NiO']","['C60', 'C 60', 'BCP', 'Cu', 'SnO 2']",,,,,,,90%,,,,,35,"phenethylammonium (PEA), phenylammonium (PA) and 4-trifluoromethyl-phenylammonium (CF3-PA)",,,600 h,,26.7,,,,,22,26.4%
